date,FG384104005.Q,FG154104005.Q,FG153165105.Q,FG153166000.Q,FG144104005.Q,FG104104005.Q,FG314104005.Q,FG214104005.Q,FG794104005.Q,FG264104005.Q
1955:Q4,7.54,12.78,13.77,14.59,13.20,15.10,0.91,10.34,25.63,3.34
1956:Q1,5.44,12.57,12.55,12.57,9.32,10.17,-1.77,9.69,9.93,3.24
1956:Q2,3.44,10.25,12.56,7.78,10.85,10.33,-6.21,9.37,10.96,7.18
1956:Q3,4.69,8.60,11.13,6.54,8.76,7.90,-1.05,8.47,7.71,2.38
1956:Q4,5.16,8.97,10.82,5.95,7.55,8.79,0.60,7.97,11.28,8.36
1957:Q1,6.34,10.38,10.07,6.86,8.29,10.07,2.10,7.88,2.43,7.76
1957:Q2,2.75,8.61,8.08,6.39,9.79,10.62,-7.03,8.62,13.13,4.57
1957:Q3,6.05,7.17,8.08,6.17,7.07,6.70,3.88,9.14,19.76,2.27
1957:Q4,2.95,4.13,7.65,2.77,6.48,6.39,-1.93,10.13,17.32,14.75
1958:Q1,5.13,5.26,7.54,-2.57,5.98,6.59,3.33,9.93,6.24,8.82
1958:Q2,6.19,4.41,7.26,-2.26,5.08,3.56,7.35,9.89,17.10,12.27
1958:Q3,4.08,7.70,9.34,1.61,6.62,5.14,-1.53,9.27,-30.97,9.38
1958:Q4,9.10,9.93,11.21,5.49,9.31,8.52,8.03,10.34,21.44,11.40
1959:Q1,7.27,12.40,11.08,13.25,6.11,3.80,3.73,9.52,5.52,1.33
1959:Q2,8.44,11.23,10.70,13.26,11.64,9.70,3.67,9.97,35.86,5.99
1959:Q3,8.04,12.65,11.08,15.41,7.38,4.96,4.28,10.76,25.81,4.00
1959:Q4,6.19,10.55,9.92,17.16,7.89,7.73,1.01,8.09,28.32,0.81
1960:Q1,4.88,9.12,9.13,5.99,7.97,7.68,-1.88,8.85,8.87,6.60
1960:Q2,5.46,9.08,7.58,10.53,8.35,7.58,-0.51,8.31,20.96,7.70
1960:Q3,4.71,8.49,8.63,6.60,5.19,3.53,0.20,8.00,12.02,6.53
1960:Q4,4.76,6.93,8.26,4.40,7.08,6.80,0.43,6.94,21.13,11.45
1961:Q1,4.74,8.69,7.87,2.75,4.76,1.65,0.38,7.73,-20.31,11.13
1961:Q2,5.44,6.62,7.36,-0.84,6.60,5.47,3.27,5.98,16.10,0.17
1961:Q3,7.15,7.58,8.99,3.51,6.82,4.01,6.64,8.49,8.99,11.59
1961:Q4,6.82,8.99,10.43,8.74,9.21,8.84,2.54,7.98,30.13,14.43
1962:Q1,6.62,9.27,7.84,5.60,6.02,4.04,3.97,8.98,-10.00,14.32
1962:Q2,6.39,7.22,8.63,12.54,9.42,8.17,2.90,7.01,14.03,7.28
1962:Q3,5.72,10.44,9.58,7.89,7.73,6.14,-0.52,5.99,16.47,-1.73
1962:Q4,7.85,8.61,9.82,10.03,9.48,8.39,5.73,7.80,30.94,12.21
1963:Q1,6.94,11.46,8.64,11.33,6.68,5.18,3.00,6.15,-20.08,11.11
1963:Q2,6.99,9.40,9.39,10.21,7.95,5.68,3.35,8.22,33.20,18.20
1963:Q3,5.73,11.69,10.51,12.64,7.20,5.26,-1.41,5.14,22.38,4.19
1963:Q4,7.34,9.59,9.97,12.88,10.54,9.57,2.49,6.01,30.09,11.53
1964:Q1,6.84,12.09,9.33,13.79,6.46,5.49,1.97,5.70,-7.01,10.04
1964:Q2,6.42,7.56,8.69,10.99,9.04,7.68,2.31,7.64,34.39,11.65
1964:Q3,7.17,9.27,9.30,12.18,8.79,7.71,3.16,7.58,2.95,9.15
1964:Q4,7.64,9.88,8.68,9.68,9.83,10.16,3.23,6.95,16.28,17.73
1965:Q1,7.28,9.76,8.40,13.70,10.49,11.19,1.26,7.32,-2.66,17.02
1965:Q2,6.08,6.35,7.56,13.06,10.61,9.91,0.26,8.78,38.73,2.50
1965:Q3,5.81,8.62,8.64,10.00,10.15,9.89,-2.73,7.84,-4.16,1.15
1965:Q4,8.60,10.34,8.21,7.80,10.20,10.40,5.46,6.75,26.34,8.21
1966:Q1,7.46,7.54,7.83,10.33,12.58,12.22,2.15,6.63,3.81,6.66
1966:Q2,6.46,5.27,5.88,5.47,13.43,14.53,-0.42,8.13,36.53,5.86
1966:Q3,5.04,4.63,5.13,3.59,9.88,11.14,-0.24,5.70,-3.37,1.02
1966:Q4,6.87,7.62,4.24,4.46,7.74,7.82,5.39,5.52,27.47,7.60
1967:Q1,5.77,3.04,4.02,3.74,9.87,11.59,4.62,5.26,-8.72,13.45
1967:Q2,3.55,2.20,3.84,3.95,10.75,10.61,-4.87,7.52,-3.50,7.63
1967:Q3,8.32,7.24,7.43,5.52,9.22,9.10,8.95,7.39,9.59,8.63
1967:Q4,13.55,23.67,7.22,6.34,7.45,5.74,11.06,5.83,22.68,7.09
1968:Q1,4.23,-5.72,6.74,7.15,10.75,13.05,8.83,5.94,-0.54,8.43
1968:Q2,6.90,6.95,6.06,8.70,11.40,11.29,1.39,6.52,26.98,3.57
1968:Q3,8.50,8.23,7.06,9.52,10.40,11.19,7.25,6.39,12.21,6.29
1968:Q4,9.60,14.26,7.21,12.89,11.55,11.91,0.74,10.19,22.58,6.41
1969:Q1,6.05,3.04,7.03,10.58,10.63,11.44,1.43,12.72,-6.89,7.01
1969:Q2,4.65,5.21,6.43,9.60,13.39,12.93,-10.11,10.13,38.45,9.25
1969:Q3,7.38,5.97,7.05,6.08,11.36,10.92,3.39,8.06,13.77,4.73
1969:Q4,8.44,11.61,5.91,5.98,9.50,8.94,3.36,6.28,47.04,6.01
1970:Q1,5.83,4.80,4.33,4.02,9.06,21.85,2.45,6.08,14.14,5.46
1970:Q2,6.04,0.07,1.62,2.48,12.63,12.51,3.38,9.16,16.62,3.52
1970:Q3,7.98,6.41,4.17,4.83,9.74,8.12,8.12,6.71,0.82,4.40
1970:Q4,6.53,4.38,6.02,2.21,8.42,6.78,4.25,11.88,21.74,8.99
1971:Q1,8.26,10.32,7.63,13.67,9.17,8.52,2.32,11.64,-5.44,7.41
1971:Q2,9.79,5.85,5.43,8.07,11.36,8.44,12.57,10.81,0.09,7.52
1971:Q3,10.12,10.30,9.07,10.65,10.44,9.07,9.67,9.46,8.45,10.88
1971:Q4,9.05,10.16,10.53,12.36,8.16,5.37,8.38,10.14,29.51,11.77
1972:Q1,9.59,12.86,10.93,11.09,11.27,11.31,1.72,10.61,3.74,10.49
1972:Q2,8.76,9.77,8.08,13.52,12.28,8.23,2.16,7.45,15.62,0.00
1972:Q3,9.62,10.76,11.03,10.68,11.06,9.02,6.71,7.07,10.06,8.06
1972:Q4,11.32,11.63,12.35,14.64,13.34,10.06,9.38,7.37,39.18,12.09
1973:Q1,12.74,15.03,12.63,14.80,16.14,15.41,5.83,7.80,3.04,12.62
1973:Q2,9.22,7.84,9.35,14.47,15.75,16.27,1.57,5.98,31.81,13.91
1973:Q3,9.80,11.76,10.15,10.53,14.53,19.83,-0.63,7.33,25.38,-1.71
1973:Q4,7.95,8.61,12.05,10.63,9.73,15.06,2.91,9.17,28.37,14.96
1974:Q1,9.07,9.90,10.57,7.43,13.05,12.46,0.10,9.04,2.90,10.37
1974:Q2,9.64,7.70,8.66,6.85,14.98,13.26,3.88,6.93,27.58,37.47
1974:Q3,9.29,9.63,9.57,4.83,11.81,9.39,4.77,7.05,29.92,9.87
1974:Q4,7.00,5.79,8.89,-0.83,9.11,8.25,6.38,3.90,19.67,19.84
1975:Q1,7.87,7.12,7.63,1.05,5.30,3.72,16.33,4.34,-7.07,10.49
1975:Q2,8.91,4.72,7.51,-1.31,4.69,2.59,27.00,4.14,-0.61,16.43
1975:Q3,9.54,9.70,9.38,5.91,4.73,3.94,21.76,2.69,-5.94,15.22
1975:Q4,9.80,10.99,12.11,9.82,4.08,3.24,18.37,9.86,23.92,23.35
1976:Q1,11.39,12.59,12.71,9.31,7.75,5.80,16.50,10.30,0.23,18.21
1976:Q2,10.88,9.61,9.79,8.55,7.99,7.54,17.60,11.39,8.84,18.10
1976:Q3,10.30,10.69,12.27,9.13,8.66,8.15,14.14,6.51,8.14,11.75
1976:Q4,9.73,12.20,13.22,13.89,9.11,8.98,9.37,4.51,26.92,31.92
1977:Q1,12.06,15.92,14.94,12.34,11.75,10.65,9.07,6.80,-3.81,-0.03
1977:Q2,11.09,14.46,14.99,17.33,11.46,10.19,5.68,10.34,21.48,10.64
1977:Q3,13.77,15.08,16.60,14.65,11.08,10.74,18.67,8.29,11.92,19.07
1977:Q4,12.27,13.73,16.16,14.83,13.65,14.60,9.86,7.17,36.90,14.93
1978:Q1,13.95,17.14,16.38,14.98,13.65,14.19,9.32,14.42,3.25,2.77
1978:Q2,13.58,17.02,15.21,21.92,13.09,11.40,8.69,14.29,28.07,11.21
1978:Q3,13.46,15.99,17.12,15.59,11.08,8.00,13.38,13.70,14.31,13.03
1978:Q4,11.76,13.67,17.65,13.47,12.55,10.96,5.59,15.90,33.65,41.30
1979:Q1,11.29,16.07,17.36,14.53,12.54,12.44,1.73,10.19,7.51,-2.61
1979:Q2,11.78,13.39,14.17,13.86,14.78,10.99,5.05,8.69,28.26,13.22
1979:Q3,13.07,14.33,15.35,13.76,13.43,10.96,12.13,8.83,19.22,31.84
1979:Q4,9.88,11.65,15.13,10.83,10.83,8.95,6.24,7.15,27.14,-4.15
1980:Q1,10.14,10.50,11.49,5.05,11.98,10.43,7.49,6.94,11.11,2.80
1980:Q2,7.42,3.78,7.28,-7.04,7.11,4.99,15.06,6.34,12.69,17.76
1980:Q3,8.98,8.76,11.19,1.69,7.75,5.45,12.51,6.92,11.19,14.87
1980:Q4,10.68,10.29,11.69,4.27,12.07,12.07,10.53,6.70,22.95,16.54
1981:Q1,9.65,7.10,7.81,5.94,9.62,7.26,14.86,7.96,3.23,6.74
1981:Q2,10.82,8.84,9.09,6.31,15.17,17.65,8.71,5.23,24.00,16.23
1981:Q3,9.36,6.53,6.09,7.55,13.11,15.51,7.47,9.20,22.80,10.28
1981:Q4,9.52,5.11,5.18,1.94,11.30,11.51,14.08,8.78,15.41,11.29
1982:Q1,10.90,5.66,5.42,5.99,13.28,16.43,15.06,11.62,3.98,2.88
1982:Q2,8.94,5.15,3.60,5.39,10.84,11.29,10.71,11.40,21.79,7.47
1982:Q3,11.04,4.04,3.26,2.51,10.62,10.72,23.60,9.84,8.79,11.58
1982:Q4,9.58,7.59,6.46,5.69,3.94,1.79,22.23,10.23,16.85,9.13
1983:Q1,11.07,7.98,8.53,6.02,6.12,3.09,24.14,10.43,1.74,5.99
1983:Q2,12.47,10.42,9.24,9.42,8.27,8.18,21.28,14.81,15.43,8.11
1983:Q3,12.32,12.04,10.88,12.83,10.39,10.90,17.03,8.75,13.93,5.17
1983:Q4,10.57,13.58,11.27,18.32,10.38,9.76,7.03,9.95,18.92,9.69
1984:Q1,15.09,13.90,13.06,17.85,14.28,14.10,19.78,10.07,7.65,4.70
1984:Q2,14.27,12.44,10.42,21.36,16.92,17.90,13.55,11.78,20.16,23.65
1984:Q3,13.52,9.32,9.43,14.61,14.18,14.08,17.64,14.95,19.19,-12.80
1984:Q4,13.14,12.71,10.99,15.10,15.28,16.46,12.55,6.97,19.65,-0.80
1985:Q1,15.35,16.12,15.53,18.89,11.34,10.97,18.93,20.10,10.01,-3.07
1985:Q2,13.45,12.58,9.60,14.39,11.09,10.65,15.55,21.03,21.06,-1.87
1985:Q3,12.71,14.78,15.97,14.94,8.83,10.61,14.73,15.75,21.77,8.06
1985:Q4,19.23,19.22,13.69,12.12,11.04,16.32,17.49,59.00,25.70,-0.51
1986:Q1,9.50,9.81,10.91,9.07,9.99,10.85,11.20,2.15,14.64,8.19
1986:Q2,12.51,8.83,10.88,10.80,11.18,12.96,16.41,20.13,24.15,-1.17
1986:Q3,11.81,12.52,15.50,10.08,11.21,13.84,13.58,7.02,23.71,6.23
1986:Q4,12.21,12.89,15.11,5.42,11.64,15.28,11.87,13.01,28.78,-1.11
1987:Q1,7.91,8.27,13.84,-2.03,5.53,4.50,7.31,17.35,17.02,0.85
1987:Q2,9.79,11.94,14.91,7.17,7.22,8.58,11.20,8.56,20.74,-4.14
1987:Q3,8.55,10.05,11.36,8.00,8.67,10.47,5.88,10.04,16.25,3.24
1987:Q4,8.34,6.85,11.42,5.98,8.54,10.20,9.26,10.18,6.41,13.30
1988:Q1,9.14,9.62,10.58,8.37,9.88,10.91,9.16,4.73,7.76,0.09
1988:Q2,9.03,9.87,12.33,7.14,9.73,10.35,8.23,5.66,14.82,-0.27
1988:Q3,8.86,9.31,10.98,5.51,9.75,10.17,8.31,5.42,10.46,-5.71
1988:Q4,8.57,8.99,11.13,5.01,9.08,10.87,7.68,7.61,16.47,1.01
1989:Q1,6.93,6.84,7.58,6.09,7.14,8.35,8.02,3.53,14.12,2.03
1989:Q2,7.49,8.81,9.81,7.01,8.16,10.07,6.16,3.83,9.58,-10.65
1989:Q3,6.40,8.03,11.52,4.54,4.48,4.77,7.45,5.27,5.60,1.30
1989:Q4,7.81,10.90,13.22,6.60,4.68,5.14,8.08,8.21,11.61,-0.67
1990:Q1,7.70,7.24,9.22,2.23,6.01,7.96,10.69,7.83,5.74,-5.14
1990:Q2,6.27,6.87,9.33,2.22,3.82,5.94,9.63,4.32,7.87,11.39
1990:Q3,6.02,6.83,8.00,3.87,2.79,4.13,10.77,2.44,6.31,2.67
1990:Q4,5.65,5.71,7.43,-0.89,1.70,3.04,11.16,5.09,13.29,2.50
1991:Q1,3.61,5.23,7.94,0.23,-1.75,-2.26,8.25,4.97,5.69,13.41
1991:Q2,5.14,6.27,8.73,-0.97,0.01,0.02,10.00,6.20,4.52,-15.82
1991:Q3,4.71,4.22,3.13,-2.31,-3.30,-2.22,13.69,9.95,5.69,7.08
1991:Q4,5.06,6.06,7.55,-1.23,-3.55,-4.01,11.05,14.66,11.61,9.32
1992:Q1,4.75,5.27,7.37,0.83,-0.15,0.51,11.52,-0.11,5.47,-1.09
1992:Q2,4.32,3.98,4.23,-0.93,-0.72,0.14,11.22,2.01,10.56,15.92
1992:Q3,5.31,4.97,6.73,1.57,0.20,1.63,11.40,5.18,9.38,3.91
1992:Q4,4.13,6.68,7.02,3.03,-0.56,0.11,7.87,-0.96,5.46,-2.53
1993:Q1,4.46,4.55,3.46,3.88,1.76,4.07,6.75,5.94,8.63,7.85
1993:Q2,6.63,5.98,6.91,5.10,3.70,5.94,10.27,7.15,7.89,13.54
1993:Q3,6.46,7.71,5.83,8.18,3.85,6.34,7.52,7.12,12.97,27.64
1993:Q4,5.61,7.34,5.37,11.86,2.80,4.21,8.05,0.59,10.70,11.17
1994:Q1,4.51,6.79,5.66,11.97,5.63,7.79,2.71,-1.76,16.70,-25.02
1994:Q2,5.20,6.78,5.29,14.78,4.79,6.27,7.31,-6.38,10.31,-1.98
1994:Q3,5.26,6.78,4.73,14.37,5.22,6.48,5.28,-0.56,10.51,0.84
1994:Q4,5.39,9.10,6.08,16.63,5.39,6.91,4.78,-7.29,13.41,8.80
1995:Q1,4.79,6.35,4.77,14.58,6.96,8.10,3.71,-5.60,8.71,12.38
1995:Q2,7.03,6.96,5.09,13.84,7.26,8.87,10.27,-5.40,10.34,11.78
1995:Q3,4.58,8.14,5.06,13.93,4.54,4.51,3.05,-5.09,11.86,17.17
1995:Q4,2.66,6.00,4.15,12.36,4.29,4.37,-0.59,-6.33,14.29,16.57
1996:Q1,6.39,8.46,7.66,10.00,5.51,5.59,6.97,-2.05,10.25,8.87
1996:Q2,6.01,6.77,6.21,9.19,6.79,7.16,6.13,-1.33,14.19,9.72
1996:Q3,4.72,5.78,4.76,7.37,5.66,5.28,4.47,-3.43,8.98,16.95
1996:Q4,3.42,5.90,5.48,8.47,3.51,2.66,1.43,-1.10,16.16,18.24
1997:Q1,5.24,6.92,6.75,3.28,6.69,6.43,2.45,2.07,6.99,5.96
1997:Q2,5.45,6.35,5.08,5.75,7.88,8.05,2.39,2.94,14.56,12.70
1997:Q3,6.50,6.64,7.91,5.69,10.64,11.63,1.82,7.05,10.23,15.65
1997:Q4,4.56,5.58,4.15,6.92,7.74,7.28,-0.85,7.40,14.83,7.26
1998:Q1,6.78,7.92,8.54,2.49,11.73,11.43,0.11,5.80,18.57,12.66
1998:Q2,7.96,8.74,7.00,12.20,12.16,11.61,2.51,6.54,19.09,12.12
1998:Q3,4.72,5.42,6.19,6.76,10.09,9.22,-2.69,5.69,19.31,-3.68
1998:Q4,6.15,7.99,9.47,6.75,9.99,9.12,-0.95,6.22,16.80,-3.12
1999:Q1,7.07,9.15,10.34,8.45,11.93,11.74,-1.36,5.44,17.99,0.57
1999:Q2,5.64,8.62,8.17,7.88,7.65,7.07,-0.12,1.81,15.13,-2.10
1999:Q3,6.91,8.77,9.66,8.61,12.16,11.79,-2.00,4.74,15.79,7.12
1999:Q4,6.14,8.64,7.99,5.38,8.43,6.28,0.74,0.90,14.35,1.71
2000:Q1,6.73,11.26,8.11,7.93,11.00,11.07,-4.61,1.61,11.12,11.33
2000:Q2,4.18,7.73,8.50,12.25,10.88,9.89,-9.27,-2.23,10.48,-7.28
2000:Q3,4.38,9.33,8.76,11.95,6.50,5.80,-6.72,3.66,10.20,12.29
2000:Q4,3.60,5.82,8.18,11.44,6.97,5.51,-5.20,2.67,13.11,13.33
2001:Q1,5.01,6.10,9.44,9.99,3.92,2.08,3.22,10.57,6.83,6.15
2001:Q2,4.45,9.94,11.66,7.11,6.45,5.47,-8.99,6.11,7.10,-9.00
2001:Q3,8.29,12.86,11.30,4.80,4.40,3.10,6.61,7.21,15.89,-12.00
2001:Q4,4.94,5.03,8.26,11.65,4.00,2.09,4.72,10.23,9.26,5.38
2002:Q1,5.70,9.56,12.32,5.72,3.66,2.03,1.08,7.98,8.16,7.78
2002:Q2,6.20,7.37,10.42,6.82,1.74,-0.67,10.00,10.56,6.90,11.31
2002:Q3,6.64,9.00,13.35,4.86,1.53,-0.87,9.14,10.86,7.92,-0.68
2002:Q4,7.65,11.68,14.53,4.39,2.51,0.51,6.39,13.25,10.74,6.34
2003:Q1,5.33,10.93,11.89,5.86,1.61,0.64,-0.34,7.46,11.17,-7.32
2003:Q2,11.28,15.59,14.77,6.36,0.64,-0.42,19.44,11.95,11.58,7.12
2003:Q3,7.62,10.64,14.74,4.66,2.57,2.38,9.83,6.26,9.30,-12.19
2003:Q4,5.66,9.23,13.58,3.93,-0.86,-2.92,8.03,6.66,10.70,20.35
2004:Q1,8.01,9.83,10.60,6.26,7.11,4.69,5.28,9.37,8.68,9.66
2004:Q2,9.41,11.96,14.31,3.53,2.91,-0.57,13.79,9.68,8.64,-1.84
2004:Q3,7.95,9.10,12.36,6.08,6.72,4.99,7.25,8.24,7.54,15.01
2004:Q4,9.34,14.08,14.27,5.97,6.11,4.11,5.99,6.02,11.72,10.57
2005:Q1,8.10,8.54,10.50,5.12,7.60,5.13,7.77,8.45,7.76,5.91
2005:Q2,9.14,11.58,13.75,4.99,7.12,4.08,8.00,7.11,9.47,8.40
2005:Q3,7.96,10.97,13.74,4.26,6.79,3.56,4.05,6.52,4.79,7.36
2005:Q4,8.35,9.71,13.15,3.43,9.35,7.52,6.01,4.18,12.29,9.75
2006:Q1,9.45,11.68,13.17,3.40,10.44,8.36,7.60,0.22,11.40,10.90
2006:Q2,9.31,11.90,13.34,4.81,9.26,6.59,5.54,5.53,11.19,21.34
2006:Q3,6.08,8.78,9.87,5.18,6.14,2.07,0.28,5.60,7.08,22.92
2006:Q4,7.87,8.18,6.65,6.70,11.82,11.17,2.10,6.05,10.34,24.10
2007:Q1,8.20,6.77,8.31,5.14,11.11,9.34,7.17,7.71,11.70,11.54
2007:Q2,8.56,9.24,8.28,5.58,12.59,12.17,1.53,6.83,11.45,28.05
2007:Q3,7.75,5.95,7.37,7.23,13.10,13.12,4.78,4.76,16.36,9.74
2007:Q4,7.06,5.95,4.88,6.03,10.77,9.61,4.85,4.37,12.37,10.31
2008:Q1,7.13,5.29,3.37,6.08,9.18,9.11,10.25,2.48,8.92,-4.04
2008:Q2,3.12,-0.96,1.23,2.42,7.54,6.61,6.13,1.15,5.77,-1.01
2008:Q3,9.16,3.58,0.33,-0.97,5.56,4.40,31.42,1.28,7.10,-25.56
2008:Q4,3.51,-7.46,-0.83,-2.25,0.70,-3.44,32.52,-0.00,-3.53,-11.60
2009:Q1,3.99,-0.77,1.47,-3.03,-2.26,-3.04,22.50,2.96,-11.56,4.27
2009:Q2,5.03,0.92,0.94,-5.70,-3.79,-4.44,24.37,5.08,-11.93,12.53
2009:Q3,2.96,0.56,0.11,-2.76,-5.45,-7.06,17.31,4.02,-8.81,11.04
2009:Q4,2.28,0.91,0.74,-2.99,-4.87,-6.09,11.99,5.33,-6.85,22.41
2010:Q1,3.85,-2.29,-3.49,-3.32,-1.20,-1.37,19.45,3.06,-5.83,7.88
2010:Q2,4.53,0.50,-0.35,-2.67,-3.33,-5.16,20.53,0.07,-6.44,-3.10
2010:Q3,4.67,-0.70,-1.52,-0.12,2.07,3.48,15.78,1.73,-4.41,5.64
2010:Q4,4.39,0.72,-0.83,1.70,-0.23,-0.10,13.74,4.81,-4.99,17.59
2011:Q1,2.76,1.11,-0.61,3.86,1.21,2.92,8.03,-2.74,-1.09,15.47
2011:Q2,1.59,-1.13,-0.46,3.38,2.80,5.63,5.39,-3.54,-2.48,15.19
2011:Q3,5.39,-2.15,-0.88,3.72,3.29,6.40,18.25,-0.03,-1.88,-3.18
2011:Q4,4.17,0.67,-0.79,5.56,3.32,6.11,10.06,0.43,-3.44,2.59
2012:Q1,5.28,2.11,-0.59,4.80,3.67,3.32,11.86,-0.47,-3.56,-0.69
2012:Q2,5.35,1.96,-0.54,6.82,3.33,2.44,11.86,1.51,-4.00,2.51
2012:Q3,4.22,1.04,-0.90,5.11,4.29,4.17,8.68,0.10,-1.66,13.81
2012:Q4,4.77,2.98,-0.67,6.56,6.73,8.25,6.65,-1.79,-1.47,14.28
2013:Q1,4.49,1.24,-0.32,6.21,3.60,4.41,9.75,-0.02,-0.32,12.75
2013:Q2,1.98,1.01,-0.27,5.09,4.41,5.33,1.89,-1.86,1.42,3.30
2013:Q3,3.46,3.08,0.67,6.46,6.68,9.05,2.61,-2.61,-0.08,7.82
2013:Q4,5.22,1.83,0.13,5.80,3.56,4.00,11.89,-2.67,5.92,10.63
2014:Q1,4.27,2.04,-0.07,6.76,6.12,5.88,6.43,-2.26,-0.54,5.00
2014:Q2,4.13,4.83,0.22,7.64,5.03,4.05,3.70,-0.35,2.22,14.23
2014:Q3,5.09,2.78,0.14,7.06,6.51,6.43,7.88,-2.67,3.68,0.13
2014:Q4,3.54,2.26,1.11,6.46,6.37,6.14,3.07,0.70,3.28,6.04
2015:Q1,2.71,2.02,0.32,6.14,7.39,8.46,-0.26,1.62,-1.31,5.19
2015:Q2,4.39,3.83,1.97,7.91,7.99,8.38,2.71,0.51,2.02,1.82
2015:Q3,2.66,1.31,1.41,7.11,5.50,5.63,2.07,0.23,1.89,-5.93
2015:Q4,7.77,3.75,1.75,6.19,5.63,3.98,15.37,-1.19,1.50,-3.68
2016:Q1,5.34,2.35,1.63,5.56,9.45,10.84,5.62,0.73,4.03,-2.92
2016:Q2,4.33,4.34,2.53,6.39,4.01,2.80,5.01,2.18,3.75,-2.63
2016:Q3,5.83,3.94,3.01,7.18,6.25,6.18,8.25,0.73,3.48,-1.55
2016:Q4,2.90,3.79,3.13,6.17,2.55,0.81,2.92,0.17,0.36,5.70
